Trade_ID,Ticker,Outcome,Entry_Time,1W_Trend_Valid,1D_Trend_Valid,1D_Volume_Contracting,Breakout_Open_Valid,Intraday_Volume_Spike,Consol_Close_Below_8EMA,Consol_Close_Below_21EMA,Consol_Close_Below_50EMA,>=6_days_consol,Date,VCP_ATR_Ratio,SPY_Trend_Valid,Sector_Trend_Valid
SOFI_20241004,SOFI,Win,2024-10-04 12:15:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2024-10-04,1.339,1.0,0.0
SOFI_20241008,SOFI,Win,2024-10-08 11:30:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2024-10-08,1.339,1.0,0.0
PLTR_20240909,PLTR,Win,2024-09-09 09:55:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2024-09-09,1.352,0.0,0.0
PLTR_20241003,PLTR,Win,2024-10-03 09:50:00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2024-10-03,1.352,1.0,1.0
CRWD_20240919,CRWD,Loss,2024-09-19 10:30:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2024-09-19,0.921,1.0,0.0
AMZN_20240919,AMZN,Loss,2024-09-19 09:50:00,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2024-09-19,0.828,1.0,1.0
U_20240923,U,Loss,2024-09-23 14:00:00,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2024-09-23,1.193,1.0,0.0
HOOD_20241008,HOOD,Win,2024-10-08 09:40:00,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024-10-08,0.942,1.0,0.0
PANW_20241008,PANW,Win,2024-10-08 09:55:00,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024-10-08,0.874,1.0,1.0
IONQ_20241107,IONQ,Win,2024-11-07 10:00:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2024-11-07,1.368,1.0,1.0
BB_20241016,BB,Loss,2024-10-16 09:35:00,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2024-10-16,0.969,1.0,1.0
RKLB_20241016,RKLB,Win,2024-10-16 10:10:00,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2024-10-16,1.06,1.0,1.0
CRWD_20241107,CRWD,Win,2024-11-07 11:55:00,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2024-11-07,0.921,1.0,1.0
DELL_20241122,DELL,Loss,2024-11-22 09:50:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-22,1.334,1.0,0.0
CAT_20241125,CAT,Loss,2024-11-25 09:50:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-11-25,1.387,1.0,1.0
META_20241202,META,Loss,2024-12-02 09:50:00,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2024-12-02,0.652,1.0,1.0
DDOG_20241204,DDOG,Win,2024-12-04 09:50:00,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2024-12-04,1.239,1.0,1.0
U_20241204,U,Win,2024-12-04 09:50:00,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2024-12-04,1.193,1.0,1.0
NFLX_20241211,NFLX,Loss,2024-12-11 10:10:00,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2024-12-11,0.902,1.0,1.0
BB_20250128,BB,Loss,2025-01-28 13:40:00,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2025-01-28,0.969,1.0,0.0
HOOD_20250207,HOOD,Loss,2025-02-07 09:45:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-02-07,0.942,1.0,1.0
SNOW_20250213,SNOW,Loss,2025-02-13 13:50:00,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2025-02-13,1.374,1.0,1.0
PLTR_20250321,PLTR,Loss,2025-03-21 15:55:00,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2025-03-21,1.352,0.0,0.0
PANW_20250512,PANW,Loss,2025-05-12 10:15:00,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2025-05-12,0.874,1.0,1.0
COIN_20250522,COIN,Loss,2025-05-22 14:20:00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2025-05-22,1.099,1.0,0.0
CAT_20250623,CAT,Win,2025-06-23 09:45:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2025-06-23,1.387,1.0,0.0
MSFT_20250612,MSFT,Loss,2025-06-12 09:40:00,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2025-06-12,1.031,1.0,1.0
HOOD_20250618,HOOD,Loss,2025-06-18 13:20:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2025-06-18,0.942,1.0,0.0
ARM_20250623,ARM,Win,2025-06-23 10:10:00,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2025-06-23,0.95,1.0,1.0
TSLA_20250623,TSLA,Loss,2025-06-23 09:50:00,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2025-06-23,0.728,1.0,0.0
META_20250624,META,Win,2025-06-24 09:50:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2025-06-24,0.652,1.0,1.0
NVDA_20250625,NVDA,Win,2025-06-25 09:50:00,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2025-06-25,1.142,1.0,1.0
UBER_20250707,UBER,Loss,2025-07-07 09:55:00,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2025-07-07,1.071,1.0,1.0
AMZN_20250711,AMZN,Loss,2025-07-11 11:05:00,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2025-07-11,0.828,1.0,1.0
SMCI_20250715,SMCI,Loss,2025-07-15 10:10:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-07-15,1.242,1.0,1.0
DELL_20250718,DELL,Loss,2025-07-18 09:50:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2025-07-18,1.334,1.0,1.0
TGT_20260715,TGT,Loss,2026-07-15 09:55:00,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2026-07-15,1.229,1.0,0.0
HIMS_20260701,HIMS,Loss,2026-07-01 09:50:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2026-07-01,1.106,1.0,1.0
NKE_20240827,NKE,Loss,2024-08-27 11:05:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2024-08-27,0.862,1.0,0.0
WMT_20240910,WMT,Win,2024-09-10 09:50:00,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2024-09-10,1.244,1.0,1.0
CSCO_20241009,CSCO,Win,2024-10-09 11:45:00,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2024-10-09,1.105,1.0,1.0
CRWD_20260626,CRWD,Win,2026-06-26 11:40:00,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2026-06-26,0.921,1.0,0.0
FLEX_20250609,FLEX,Loss,2025-06-09 15:55:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2025-06-09,1.43,1.0,1.0
CRDO_20250103,CRDO,Loss,2025-01-03 10:55:00,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2025-01-03,1.036,1.0,1.0
LRCX_20260702,LRCX,Loss,2026-07-02 11:10:00,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2026-07-02,1.234,1.0,0.0
JNJ_20250331,JNJ,Loss,2025-03-31 10:00:00,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2025-03-31,1.138,0.0,1.0
RACE_20250610,RACE,Loss,2025-06-10 10:30:00,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2025-06-10,1.657,1.0,0.0
GOOGL_20250808,GOOGL,Win,2025-08-08 09:45:00,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2025-08-08,0.929,1.0,0.0
